round,client_id,task_id,global_loss,reset_loss,adapted_loss,G,A,D,C,probe_seed,support_hash,query_hash
20,17,4,1.7232590913772583,1.7888727188110352,25.904569625854492,-24.115696907043457,-24.181310534477234,24.181310534477234,-0.0007311232277249245,2317007,c387399755a36bcf15af2e4366cfb357b7090c1611ba0a0893307af6b41d8300,5657c50676e3bbf9cb39cbdc314994984342222f81dfa8225a6fb78f71a394eb
20,17,5,1.7232590913772583,1.6631131172180176,24.06744956970215,-22.40433645248413,-22.34419047832489,22.34419047832489,0.00225341317657487,2317007,c387399755a36bcf15af2e4366cfb357b7090c1611ba0a0893307af6b41d8300,5657c50676e3bbf9cb39cbdc314994984342222f81dfa8225a6fb78f71a394eb
20,17,6,1.7232590913772583,1.688794732093811,33.98705291748047,-32.29825818538666,-32.26379382610321,32.26379382610321,-0.0009478739920048307,2317007,c387399755a36bcf15af2e4366cfb357b7090c1611ba0a0893307af6b41d8300,5657c50676e3bbf9cb39cbdc314994984342222f81dfa8225a6fb78f71a394eb
20,17,7,1.7232590913772583,1.9368470907211304,20.85685920715332,-18.92001211643219,-19.133600115776062,19.133600115776062,0.00464936726554491,2317007,c387399755a36bcf15af2e4366cfb357b7090c1611ba0a0893307af6b41d8300,5657c50676e3bbf9cb39cbdc314994984342222f81dfa8225a6fb78f71a394eb
20,17,8,1.7232590913772583,2.061763048171997,41.784942626953125,-39.72317957878113,-40.06168353557587,40.06168353557587,0.006255631767159135,2317007,c387399755a36bcf15af2e4366cfb357b7090c1611ba0a0893307af6b41d8300,5657c50676e3bbf9cb39cbdc314994984342222f81dfa8225a6fb78f71a394eb
20,17,9,1.7232590913772583,1.8310960531234741,16.64349365234375,-14.812397599220276,-14.920234560966492,14.920234560966492,0.008596741082834779,2317007,c387399755a36bcf15af2e4366cfb357b7090c1611ba0a0893307af6b41d8300,5657c50676e3bbf9cb39cbdc314994984342222f81dfa8225a6fb78f71a394eb
20,59,0,1.7615987062454224,1.7642242908477783,50.087158203125,-48.32293391227722,-48.32555949687958,48.32555949687958,0.002801276137962721,2358881,40500d2a0c086d051719339d99b16f8a4d2814bfa2acceaa075f7ca191c9fe9a,0587e2851dd1f4f343cea2991f9fd1a9ccde4a95b51afebcb7cd22cb8286d10f
20,59,1,1.7615987062454224,1.9857898950576782,46.098915100097656,-44.11312520503998,-44.337316393852234,44.337316393852234,0.010271257065691144,2358881,40500d2a0c086d051719339d99b16f8a4d2814bfa2acceaa075f7ca191c9fe9a,0587e2851dd1f4f343cea2991f9fd1a9ccde4a95b51afebcb7cd22cb8286d10f
20,59,2,1.7615987062454224,1.6478086709976196,44.49079132080078,-42.84298264980316,-42.72919261455536,42.72919261455536,-0.00022479994407091777,2358881,40500d2a0c086d051719339d99b16f8a4d2814bfa2acceaa075f7ca191c9fe9a,0587e2851dd1f4f343cea2991f9fd1a9ccde4a95b51afebcb7cd22cb8286d10f
20,59,3,1.7615987062454224,1.6925560235977173,37.034183502197266,-35.34162747859955,-35.27258479595184,35.27258479595184,0.005955897309597979,2358881,40500d2a0c086d051719339d99b16f8a4d2814bfa2acceaa075f7ca191c9fe9a,0587e2851dd1f4f343cea2991f9fd1a9ccde4a95b51afebcb7cd22cb8286d10f
