round,accuracy,Gamma,hungarian_score,baseline_score,changed_pairs,changed_fraction,assignment_margin,margin_per_K,margin_per_Q_std,Q_std,Q_interaction_std,probe_seconds,reliability_probe_seconds,formal_training_seconds,matching_seconds,peak_gpu_memory_bytes,G_mean,G_std,G_interaction_std,A_mean,A_std,A_interaction_std,D_mean,D_std,D_interaction_std,C_mean,C_std,C_interaction_std,D_positive_ratio
23,34.2,0.9230269929751529,9.230269929751529,-1.501953794613545,10,1.0,0.010441845564987062,0.0010441845564987061,0.0033980490674687834,3.0728942865928723,1.1872912107977205,45.837521199995535,0.0,39.75452390000282,0.0005619000003207475,404193792,-138.60592924952508,237.0193214117469,95.63382767292701,-138.80953934907913,237.05625249920902,95.63051890086697,138.80953934907913,237.05625249920902,95.63051890086697,0.0020991143754330154,0.0044297307062616835,0.0030274855168995556,1.0
24,38.14,1.678064458102071,16.78064458102071,4.052173922097427,10,1.0,0.005891591821992392,0.0005891591821992392,0.0019788175100336016,2.9773295375238265,1.5289276765091095,50.960004699998535,0.0,39.902135900003486,0.0005745999951614067,404193792,-58.339013944268224,43.769500322473675,22.830060660065946,-58.58595211982727,43.85244431429115,22.889125941662417,58.58595211982727,43.85244431429115,22.889125941662417,0.0029800273854282077,0.004539890465541008,0.002789701570770989,1.0
25,25.32,0.9451248890344693,9.451248890344694,4.0281145971630545,7,0.7,0.07789409414278836,0.007789409414278836,0.025424094818841985,3.0637902626551123,0.9387311680786814,53.37124700000277,0.0,39.8919501999917,0.0005775000026915222,404193792,-82.9568468016386,112.06417881914327,35.372552078689274,-83.19529775381088,112.04652717933676,35.36816938305323,83.19529775381088,112.04652717933676,35.36816938305323,0.0037681349342523385,0.0034203401727972457,0.0022896113251168583,1.0
26,44.31,1.3923832721575278,13.923832721575279,-3.2076359994229837,10,1.0,0.10017282056803367,0.010017282056803366,0.03310573731934139,3.0258447229782623,1.4998271115754631,49.80869809999422,0.0,32.769345599997905,0.0005740000051446259,404193792,-276.5612373173237,278.73364643572467,138.92797941282953,-276.9944328737259,278.84385053007276,138.89225341406575,276.9944328737259,278.84385053007276,138.89225341406575,0.0010311531244805911,0.003045736879965022,0.0018919759570759913,1.0
27,36.82,1.867906400877251,18.67906400877251,-7.527251208156995,8,0.8,0.017201878784621982,0.0017201878784621981,0.005572439792808905,3.0869564184112996,1.6491919160866397,49.93442920000234,0.0,31.762643399997614,0.0004454000008990988,404193792,-55.02125702381134,42.06970460185131,23.77465555054179,-55.2565453672409,42.0823806195644,23.81239673290089,55.2565453672409,42.0823806195644,23.81239673290089,0.003608879284980754,0.0045750660097143596,0.002941951098801092,1.0
28,44.21,1.2622988260702932,12.622988260702932,2.647501008102999,7,0.7,0.26344144044862006,0.026344144044862006,0.08608681188730993,3.060183490050396,1.0451307346456011,50.00670199999877,0.0,38.428129199994146,0.0004645000008167699,404193792,-128.61830737233163,99.3987049256235,33.668048301537986,-128.87500150322913,99.42963208217122,33.652910392423095,128.87500150322913,99.42963208217122,33.652910392423095,0.002864013554046088,0.0042361696377854205,0.002997033686338288,1.0
29,42.21,1.2370453358772155,12.370453358772156,7.800013448210302,6,0.6,0.1147430251301671,0.01147430251301671,0.03819307990224187,3.00428835338393,1.5219395563376275,49.39470440000878,0.0,26.810669400001643,0.00035620000562630594,404193792,-114.85842287540436,139.87121191987774,72.51047549805325,-115.04437735557556,139.97564489300115,72.57914809923744,115.04437735557556,139.97564489300115,72.57914809923744,0.0015109096546297935,0.004241710123580519,0.0027049817603545,1.0
30,42.61,0.9336186377825714,9.336186377825713,1.3731549182774014,10,1.0,0.0059279261424300955,0.0005927926142430095,0.0019544510903902615,3.033038878064949,0.8538224573216753,50.20090500000515,99.86332129999937,39.04852729999402,0.0003429000062169507,404193792,-235.09851954758167,210.3439409531472,63.01383741127042,-235.29330331087112,210.42901365411453,63.11110792431085,235.29330331087112,210.42901365411453,63.11110792431085,0.002633662876724279,0.00459654410597016,0.002582938200909623,1.0
31,48.5,1.6655687809942001,16.655687809942002,-6.323727221552328,10,1.0,0.08043124632757781,0.00804312463275778,0.026513386377840502,3.0336089544110845,1.4025388638816814,49.120252900000196,0.0,33.00469259999227,0.0006062999891582876,404193792,-147.72030058264733,117.10446565010776,56.725241302450726,-147.95396401882172,117.19321228177003,56.806231412213016,147.95396401882172,117.19321228177003,56.806231412213016,0.0019010250633707834,0.0036363301166307954,0.0026987427024482585,1.0
32,40.98,1.5413845851207797,15.413845851207798,-2.555053513569711,10,1.0,0.010800788379096815,0.0010800788379096815,0.003579474087349505,3.01742326261523,1.319328598733538,50.33466509998834,0.0,37.426102500001434,0.000629400004982017,404193792,-74.9044671857357,58.57488659876341,26.157328544878634,-75.09169853687287,58.611263427155514,26.150109676152123,75.09169853687287,58.611263427155514,26.150109676152123,0.0040947959145096755,0.003693477813975575,0.0024462036868556506,1.0
