round,accuracy,G_mean,A_mean,D_positive_ratio,D_mean_positive,C_mean,alignment_valid_ratio,Gamma,hungarian_score,baseline_score,changed_pairs,Q_vs_Qint_assignment_equal,G_A_raw_pearson,G_A_interaction_pearson,G_A_within_row_spearman_mean,G_A_within_row_spearman_std,random_score_mean,random_score_std,random_score_p90,random_score_p95,random_score_p99,null_gamma_mean,null_gamma_std,null_gamma_p90,null_gamma_p95,null_gamma_p99,mean_reset_delta_norm,mean_active_reset_kernels,probe_seconds,reliability_probe_seconds,formal_training_seconds,matching_seconds,peak_gpu_memory_bytes,G_overall_std,G_mean_row_std,G_mean_col_std,G_interaction_std,G_interaction_overall_ratio,A_overall_std,A_mean_row_std,A_mean_col_std,A_interaction_std,A_interaction_overall_ratio,D_overall_std,D_mean_row_std,D_mean_col_std,D_interaction_std,D_interaction_overall_ratio,C_overall_std,C_mean_row_std,C_mean_col_std,C_interaction_std,C_interaction_overall_ratio,Q_overall_std,Q_mean_row_std,Q_mean_col_std,Q_interaction_std,Q_interaction_overall_ratio,without_G_overlap,without_A_overlap,without_D_overlap,without_C_overlap
23,34.35,-78.4426811826229,-78.68991153001785,1.0,78.68991153001785,0.0021954258371727074,1.0,1.748992277837938,17.48992277837938,-3.799893238864076,9,True,0.9999925639671198,0.9999821726788409,0.9999999999999998,1.1102230246251565e-16,0.49679887303733644,5.061068889079039,6.617167895832543,8.12872884102178,10.974298146869826,1.886892374377254,0.09474364278941855,1.9889347622438047,2.012815162752709,2.055689376827641,11.397560688283486,75.0,44.66362079999817,0.0,38.152730399990105,0.00037199999496806413,403261440,75.32946035807785,36.573049212322985,70.312849601601,38.79822448504921,0.515047158185154,75.32205606152117,36.560674476978804,70.29716029023182,38.753622028829945,0.5145056316197337,75.32205606152117,36.560674476978804,70.29716029023182,38.753622028829945,0.5145056316197337,0.004419927137578091,0.0032649047505899863,0.003903513412118177,0.002953013590085635,0.6681136358514148,3.0537571018838063,1.443860409264357,2.8438698293798206,1.533795485656329,0.502265057266722,1.0,1.0,1.0,0.8
24,39.18,-71.90062395334243,-72.08459995031357,1.0,72.08459995031357,0.0023118559481628675,1.0,1.916526487947025,19.16526487947025,-5.924027677735847,9,True,0.9999814494319615,0.9999697595802356,0.9975757575757574,0.0048484848484848355,-0.04646704792435555,5.531411239000521,6.957364946351654,8.526004750810916,12.338992024328086,2.5040218123996936,0.10532626830275126,2.6387389474986613,2.67679534836354,2.7078373775453217,11.276972111312531,75.0,44.39028779999353,0.0,35.41394969999965,0.00034749999758787453,403261440,45.42764236109378,31.60593937763186,34.794998845765974,24.740648955341808,0.5446166181965626,45.58707908288894,31.798392210305803,34.82071072099717,24.79286005876719,0.5438571752686204,45.58707908288894,31.798392210305803,34.82071072099717,24.79286005876719,0.5438571752686204,0.004545981762720034,0.004214996224393458,0.002915582709758867,0.002735901507542278,0.601828526893448,2.9137768979432783,1.9835510939083236,2.2947356501593132,1.6071298502106375,0.5515624244756172,0.3,0.3,0.3,1.0
25,27.51,-49.82406210780144,-50.03364244461059,1.0,50.03364244461059,0.003950129051362692,1.0,1.3239315413282355,13.239315413282355,0.7879165602366613,8,True,0.9999857328506866,0.9999369488797316,0.9951515151515151,0.008040302522073675,-0.11197837037827484,3.851915355857551,4.929317665736343,6.354223835329534,9.166650786418387,1.3644202399281664,0.03631075855517115,1.4090330615344846,1.4202276614262648,1.4373233985572447,11.121529724078677,75.0,43.95735880000575,0.0,37.79240990000835,0.00034080000477842987,403261440,53.867779250235614,25.710869189437226,48.1358257570305,20.613594649526476,0.3826702146707916,53.884301910761984,25.791126194373724,48.12581699940117,20.64449630831994,0.3831263573296241,53.884301910761984,25.791126194373724,48.12581699940117,20.64449630831994,0.3831263573296241,0.003455016701272708,0.0029418302564729244,0.0029597747435989377,0.002521831267307802,0.7299042190964945,3.0419417781800235,1.3891406340340584,2.7516125613800932,1.1388886704480192,0.3743952887649973,0.5,0.8,0.8,1.0
26,43.97,-222.61847878098487,-223.07093878030776,1.0,223.07093878030776,0.0010156334720807958,1.0,1.5775639864785715,15.775639864785715,-0.19203690939859475,9,True,0.9999983578310901,0.9999975026554626,0.9999999999999998,1.1102230246251565e-16,0.30676512573158354,4.8799245316995385,6.676979063642562,8.350685931016722,11.354362993105912,1.9701356380236583,0.07103870149636297,2.051853062183898,2.06844609499555,2.0951000584774704,10.940097394856226,75.0,44.125981600009254,0.0,33.762816700007534,0.0003428999916650355,403261440,227.08266880031138,100.11150791645852,187.10267653315682,114.12085123921948,0.5025520082273359,227.1242229253597,100.22310557291719,187.08764155173986,114.12116730649599,0.5024614540739667,227.1242229253597,100.22310557291719,187.08764155173986,114.12116730649599,0.5024614540739667,0.0034296302858765845,0.0030718440060294974,0.002446220410723977,0.0021976519711243373,0.6407839294440555,3.0100745144848515,1.3576085903341215,2.4845281229382,1.5032372690622904,0.4994020120859223,1.0,1.0,1.0,0.6
27,35.9,-70.58395284950733,-70.774527323246,1.0,70.774527323246,0.0026064297521996684,1.0,1.616641718172979,16.16641718172979,-7.467608894829329,8,True,0.9999930217227971,0.9999799297325441,0.9999999999999998,1.1102230246251565e-16,-0.009384926641593055,5.1162313120189,6.060973370827505,7.54985737182739,9.50179333347583,1.6729327884078822,0.07007936372720473,1.7625841658354477,1.783895448245032,1.8188337286135998,10.757922372627489,75.0,42.63376710000739,0.0,32.03645710001001,0.0003397999971639365,403261440,54.83093055544987,24.55165367612637,50.41342613007533,29.016978086694277,0.5292082004216535,54.859831907861576,24.575904489430915,50.43288447779866,29.033955213864925,0.5292388657447613,54.859831907861576,24.575904489430915,50.43288447779866,29.033955213864925,0.5292388657447613,0.003911917277702812,0.002894511051487774,0.003613387727069086,0.0026455618901273467,0.6762826773476394,3.0867674051826444,1.328152974749512,2.854120326264063,1.5702649819662096,0.5087085535922642,1.0,1.0,1.0,1.0
28,45.73,-165.7371311199665,-165.98206593990326,1.0,165.98206593990326,0.0023097114192213155,1.0,0.965270025647295,9.65270025647295,2.1409735956297617,10,True,0.999998379317439,0.9999832186217437,0.9987878787878787,0.003636363636363627,0.12065438568972418,2.4337983204429916,3.3140954704405123,4.369416917868629,6.07375840895298,1.062552897192321,0.05161610553006318,1.119990886636769,1.1311128554319652,1.1551145483820653,10.64168915197467,75.0,42.84527150000213,0.0,36.583991099993,0.00034330000926274806,403261440,164.99680955309466,39.96679038162695,160.82058690780033,40.332477382587285,0.24444398344325932,165.04361277583794,40.090224001233835,160.85285372049012,40.3560481263127,0.24451747903218915,165.04361277583794,40.090224001233835,160.85285372049012,40.3560481263127,0.24451747903218915,0.0035318660750525907,0.0031840535543007096,0.002835782184232758,0.0028541925427775505,0.8081259261041065,3.0383424086660415,0.6845059146986043,2.967926610487687,0.7430094064536369,0.24454432928112566,0.8,0.8,0.8,0.5
29,39.68,-129.11460461735726,-129.29944358110427,1.0,129.29944358110427,0.0015897598174949626,1.0,0.9802205282288783,9.802205282288783,4.019392766633046,6,True,0.9999995216439385,0.9999989602062844,0.9987878787878787,0.003636363636363627,-0.03857009035668905,5.276771048687397,5.27261228870896,5.89241750039035,6.99025488191803,1.0578235071092623,0.03743915799687027,1.1056977280882483,1.1169448844180647,1.1355781409275032,10.48585731763368,75.0,44.21342870000808,0.0,27.7505930000043,0.00032980000833049417,403261440,223.1845380148209,72.99328103790859,180.3364625278657,121.93208803326564,0.5463285634292845,223.26297844423718,73.09348475087633,180.36455621090613,122.00320998252215,0.5464551751153586,223.26297844423718,73.09348475087633,180.36455621090613,122.00320998252215,0.5464551751153586,0.004586019758892373,0.003942654984886699,0.0036168621952675515,0.0030575150230951094,0.6667034125107145,3.033557404972557,0.9635334335333005,2.5052042516260653,1.5979019825776701,0.526741963068975,1.0,1.0,1.0,0.3
30,42.81,-257.2767046046257,-257.50690712451933,1.0,257.50690712451933,0.003325904328288575,1.0,0.946579062055193,9.46579062055193,0.5753348411676213,9,True,0.9999990393487524,0.9999951819319416,0.9999999999999998,1.1102230246251565e-16,0.12126847548763249,2.8864945748620703,3.750635975692126,4.610992610380881,5.979669708491597,1.010694778479781,0.037915064373278025,1.0588873939881625,1.0671612684206775,1.082036252449824,10.305518146772203,75.0,47.62960759999987,0.0,39.600926099999924,0.000484200005303137,403261440,251.87443489093693,75.46418771219707,237.53378638576714,74.54304026279384,0.2959531811756576,252.0063347484931,75.66650436896609,237.60419339398678,74.62988066145658,0.2961428756778617,252.0063347484931,75.66650436896609,237.60419339398678,74.62988066145658,0.2961428756778617,0.005127456308546807,0.004699480978206,0.0029188608813207817,0.0025676291578362155,0.5007608067876287,3.013398270377946,0.8214709469672306,2.8740770534281626,0.866814073077636,0.28765333862387815,1.0,1.0,1.0,0.8
31,47.18,-125.51253211975097,-125.7423928976059,1.0,125.7423928976059,0.001562679980840543,1.0,2.1147392658955972,21.147392658955972,-1.9663834514233,8,True,0.9999910848796016,0.9999787841031615,0.9987878787878787,0.003636363636363627,0.005749548812133302,5.479952703584247,7.0498212339613655,8.702677835488448,12.689876212299495,2.2928370910328706,0.12687369204541343,2.4549091389738473,2.492262525098196,2.568850985092282,10.17385173088779,75.0,46.17850750000798,0.0,33.3775569999998,0.0003364000003784895,403261440,75.37978322609638,44.1382311797678,67.77287402115374,39.80010990458957,0.5279944860707801,75.4021339333876,44.18917117178808,67.80285761493627,39.84163645895601,0.5283887123692448,75.4021339333876,44.18917117178808,67.80285761493627,39.84163645895601,0.5283887123692448,0.003485881167473244,0.003256088388410691,0.0028759383731150395,0.0028132302591429657,0.8070356171039954,3.03221454087327,1.7349845989187975,2.7450030313659193,1.5822376962005096,0.5218092832391831,1.0,1.0,1.0,0.8
32,40.25,-105.53160051107406,-105.77243656754494,1.0,105.77243656754494,0.0036740610948640877,1.0,1.5119853178808718,15.119853178808718,-1.3749563242708374,10,True,0.9999946464899923,0.999986176523804,0.9987878787878787,0.003636363636363627,-0.06691770735812738,4.32660076169025,5.4852353456869585,6.992730936237576,9.71251034895075,1.5459910487090407,0.06481982174014021,1.6258574222825477,1.643148792677533,1.670505242987122,10.074942400909645,75.0,46.10161810000136,0.0,36.84567400001106,0.0003404000017326325,403261440,80.14313422396138,33.26447497256605,78.44260971146397,35.6989286334546,0.44543963720826446,80.23163710067533,33.29780380441281,78.52288942421612,35.721340039386604,0.44522761008307943,80.23163710067533,33.29780380441281,78.52288942421612,35.721340039386604,0.44522761008307943,0.003724849017616571,0.0032483026985379083,0.0028577640473177912,0.0025227843386568635,0.6772849924185985,3.0214091687883404,1.185538159552946,2.972623408280991,1.275570669690271,0.4221774008191702,1.0,1.0,1.0,0.6
