candidate,round,source_replicate,heldout_replicate,cross_score,baseline_score,cross_minus_baseline,random_mean,random_std,random_p90,random_p95,cross_percentile,cross_minus_baseline_random_std,cross_above_baseline,cross_above_random_p90,heldout_G,baseline_G,G_vs_baseline,random_G_mean,random_G_std,random_G_p90,random_G_p95,G_quality_percentile,heldout_A,baseline_A,A_vs_baseline,random_A_mean,random_A_std,random_A_p90,random_A_p95,A_quality_percentile,heldout_adapted_loss,baseline_adapted_loss,adapted_loss_vs_baseline,random_adapted_loss_mean,random_adapted_loss_std,random_adapted_loss_p90,random_adapted_loss_p95,adapted_loss_quality_percentile
A+C,30,0,2,2.664858401850783,-0.5324722454592785,3.1973306473100616,0.05035725251258939,0.957092967244451,1.2386265888235264,1.571448323167521,99.8,3.3406688344136914,True,True,-136.3234423160553,-161.79875721931458,25.47531490325929,-163.99104042627812,14.514567488037546,-145.55098334550857,-140.18737981170418,97.5,-136.46168746948243,-161.9546890258789,25.49300155639648,-164.15838809318544,14.55902820739019,-145.68309815406798,-140.2845051908493,97.5,138.13249626159669,163.62549781799316,-25.49300155639648,165.8291968852997,14.55902820739019,185.6134324359894,190.20743675231932,97.5
G+A,30,0,2,5.698242310709022,0.4848315661259466,5.213410744583075,0.14985689482250378,2.2154111880836647,2.9635529793566207,3.7818131544562537,99.8,2.353247457007151,True,True,-127.62136106491089,-161.79875721931458,34.177396154403695,-163.99104042627812,14.514567488037546,-145.55098334550857,-140.18737981170418,99.8,-127.71484289169311,-161.9546890258789,34.2398461341858,-164.15838809318544,14.55902820739019,-145.68309815406798,-140.2845051908493,99.8,129.38565168380737,163.62549781799316,-34.2398461341858,165.8291968852997,14.55902820739019,185.6134324359894,190.20743675231932,99.8
Full,30,1,0,6.548687690916931,1.3731549182774014,5.17553277263953,0.05230951122960541,2.9317529496034926,3.6158898941458015,4.323603730754518,99.5,1.7653372782790238,True,True,-186.2402795791626,-220.236661028862,33.996381449699385,-234.74824118965864,21.64949362354787,-208.45997564315795,-202.1819253310561,99.5,-186.38417340517043,-220.39106122255325,34.00688781738282,-234.94573897714616,21.684280097165477,-208.53486672639846,-202.32628653764726,99.5,187.90875854492188,221.9156463623047,-34.00688781738282,236.4703241168976,21.684280097165477,266.5989616394043,273.16350313186643,99.5
G,30,1,0,2.0178591943317064,0.7065503504106153,1.3113088439210911,0.016652647865005362,1.0292425598496349,1.2664279172347135,1.5648938622794637,99.0,1.2740522934775105,True,True,-192.6540740251541,-220.236661028862,27.582587003707886,-234.74824118965864,21.64949362354787,-208.45997564315795,-202.1819253310561,99.0,-192.80034924745559,-220.39106122255325,27.590711975097662,-234.94573897714616,21.684280097165477,-208.53486672639846,-202.32628653764726,99.0,194.32493438720704,221.9156463623047,-27.590711975097662,236.4703241168976,21.684280097165477,266.5989616394043,273.16350313186643,99.0
A,30,1,0,2.0193486309479005,0.7081838112311284,1.311164819716772,0.01651693973608932,1.0304795769659485,1.2716134586105983,1.5666573824944179,99.0,1.2723831204663443,True,True,-192.6540740251541,-220.236661028862,27.582587003707886,-234.74824118965864,21.64949362354787,-208.45997564315795,-202.1819253310561,99.0,-192.80034924745559,-220.39106122255325,27.590711975097662,-234.94573897714616,21.684280097165477,-208.53486672639846,-202.32628653764726,99.0,194.32493438720704,221.9156463623047,-27.590711975097662,236.4703241168976,21.684280097165477,266.5989616394043,273.16350313186643,99.0
C,30,1,0,7.419344540258012,-2.999052218381885,10.418396758639897,0.010491935569686035,1.810048001506564,2.294181081129903,2.9872124833089897,99.9,5.755867662055544,True,True,-293.64742448329923,-220.236661028862,-73.41076345443724,-234.74824118965864,21.64949362354787,-208.45997564315795,-202.1819253310561,1.1,-294.0814973950386,-220.39106122255325,-73.69043617248533,-234.94573897714616,21.684280097165477,-208.53486672639846,-202.32628653764726,1.1,295.60608253479006,221.9156463623047,73.69043617248536,236.4703241168976,21.684280097165477,266.5989616394043,273.16350313186643,1.1
G+C,30,1,0,2.6739095250645044,-0.043212704184855844,2.71712222924936,0.01927563175742693,0.93752926313457,1.1358623662381118,1.5064764286742907,100.0,2.8981732475899826,True,True,-200.4924653172493,-220.236661028862,19.74419571161269,-234.74824118965864,21.64949362354787,-208.45997564315795,-202.1819253310561,96.4,-200.7426515698433,-220.39106122255325,19.648409652709944,-234.94573897714616,21.684280097165477,-208.53486672639846,-202.32628653764726,96.4,202.26723670959473,221.9156463623047,-19.648409652709972,236.4703241168976,21.684280097165477,266.5989616394043,273.16350313186643,96.4
A+C,30,1,0,2.6706115597466686,-0.041579243364342655,2.712190803111011,0.019139923628510858,0.9379583790342843,1.13585358660096,1.5040672073547394,100.0,2.8915897162766058,True,True,-200.4924653172493,-220.236661028862,19.74419571161269,-234.74824118965864,21.64949362354787,-208.45997564315795,-202.1819253310561,96.4,-200.7426515698433,-220.39106122255325,19.648409652709944,-234.94573897714616,21.684280097165477,-208.53486672639846,-202.32628653764726,96.4,202.26723670959473,221.9156463623047,-19.648409652709972,236.4703241168976,21.684280097165477,266.5989616394043,273.16350313186643,96.4
G+A,30,1,0,4.037207825279607,1.4147341616417437,2.622473663637863,0.033169587601094654,2.0597205042984936,2.538041375845312,3.1316118110998046,99.0,1.2732182148815545,True,True,-192.6540740251541,-220.236661028862,27.582587003707886,-234.74824118965864,21.64949362354787,-208.45997564315795,-202.1819253310561,99.0,-192.80034924745559,-220.39106122255325,27.590711975097662,-234.94573897714616,21.684280097165477,-208.53486672639846,-202.32628653764726,99.0,194.32493438720704,221.9156463623047,-27.590711975097662,236.4703241168976,21.684280097165477,266.5989616394043,273.16350313186643,99.0
Full,30,1,2,7.5367333852893275,-0.04764067933333038,7.584374064622658,0.20021414733509346,3.1093233175606874,3.9785505429081,5.240609380852831,99.5,2.4392362228102793,True,True,-131.34823095798492,-161.79875721931458,30.450526261329657,-163.99104042627812,14.514567488037546,-145.55098334550857,-140.18737981170418,99.1,-131.43798370361327,-161.9546890258789,30.516705322265636,-164.15838809318544,14.55902820739019,-145.68309815406798,-140.2845051908493,99.1,133.10879249572753,163.62549781799316,-30.516705322265636,165.8291968852997,14.55902820739019,185.6134324359894,190.20743675231932,99.1
