round,clean_accuracy,fedrad_accuracy,delta_fedrad_minus_clean,delta_trailing_10_mean
144,64.42,65.63,1.2099999999999937,0.24599999999999939
145,68.69,69.34,0.6500000000000057,0.23400000000000037
146,67.44,66.69,-0.75,0.031000000000000236
147,58.65,60.7,2.0500000000000043,0.15100000000000124
148,70.27,69.49,-0.7800000000000011,0.06600000000000111
149,52.85,55.84,2.990000000000002,0.33100000000000096
150,67.17,66.23,-0.9399999999999977,0.2970000000000006
151,62.93,62.29,-0.6400000000000006,0.46799999999999997
152,65.49,66.17,0.6800000000000068,0.4150000000000013
153,69.55,70.8,1.25,0.5720000000000014
154,66.7,65.96,-0.7400000000000091,0.377000000000001
155,51.18,49.46,-1.7199999999999989,0.1400000000000006
156,65.13,64.05,-1.0799999999999983,0.10700000000000072
157,67.27,67.9,0.6300000000000097,-0.03499999999999871
158,69.92,70.07,0.14999999999999147,0.05800000000000056
159,60.9,62.22,1.3200000000000003,-0.1089999999999996
160,72.02,72.0,-0.01999999999999602,-0.016999999999999477
161,63.55,64.42,0.8700000000000045,0.13400000000000106
162,64.86,66.85,1.9899999999999949,0.2649999999999999
163,70.47,71.75,1.2800000000000011,0.2679999999999999
164,72.93,73.77,0.8399999999999892,0.4259999999999998
165,68.41,67.65,-0.7599999999999909,0.5220000000000007
166,67.51,68.21,0.6999999999999886,0.6999999999999994
167,70.33,69.77,-0.5600000000000023,0.5809999999999982
168,69.13,69.7,0.5700000000000074,0.6229999999999997
169,67.84,69.29,1.4500000000000028,0.6359999999999999
170,69.55,69.03,-0.519999999999996,0.5860000000000001
171,68.27,68.85,0.5799999999999983,0.5569999999999993
172,62.49,55.25,-7.240000000000002,-0.3660000000000003
173,66.38,67.34,0.960000000000008,-0.39799999999999963
174,68.28,68.41,0.12999999999999545,-0.46899999999999903
175,73.81,74.44,0.6299999999999955,-0.3300000000000003
176,67.61,68.46,0.8499999999999943,-0.31499999999999984
177,67.34,67.32,-0.020000000000010232,-0.26100000000000056
178,67.27,66.77,-0.5,-0.3680000000000014
179,66.51,69.66,3.1499999999999915,-0.19800000000000262
180,69.47,69.01,-0.45999999999999375,-0.19200000000000222
181,66.6,66.28,-0.3199999999999932,-0.2820000000000015
182,66.94,67.34,0.4000000000000057,0.4819999999999995
183,70.14,71.66,1.519999999999996,0.5379999999999981
184,71.97,72.58,0.6099999999999994,0.5859999999999985
185,66.8,68.56,1.7600000000000051,0.6989999999999995
186,66.58,66.42,-0.1599999999999966,0.5980000000000004
187,70.82,70.35,-0.46999999999999886,0.5530000000000015
188,72.95,73.17,0.21999999999999886,0.6250000000000014
189,71.62,71.87,0.25,0.33500000000000235
190,62.12,66.57,4.449999999999996,0.8260000000000014
191,70.53,68.5,-2.030000000000001,0.6550000000000005
192,72.83,73.26,0.4300000000000068,0.6580000000000007
193,72.44,72.33,-0.10999999999999943,0.49500000000000094
194,66.23,67.37,1.1400000000000006,0.5480000000000012
195,66.94,67.45,0.5100000000000051,0.42300000000000115
196,58.37,56.79,-1.5799999999999983,0.281000000000001
197,69.01,67.75,-1.2600000000000051,0.20200000000000032
198,60.51,62.49,1.980000000000004,0.3780000000000009
199,70.74,71.02,0.28000000000000114,0.381000000000001
200,71.49,71.65,0.1600000000000108,-0.04799999999999756
