round,accuracy,Gamma,hungarian_score,baseline_score,changed_pairs,changed_fraction,assignment_margin,margin_per_K,margin_per_Q_std,Q_std,Q_interaction_std,probe_seconds,reliability_probe_seconds,formal_training_seconds,matching_seconds,peak_gpu_memory_bytes,G_mean,G_std,G_interaction_std,A_mean,A_std,A_interaction_std,D_mean,D_std,D_interaction_std,C_mean,C_std,C_interaction_std,D_positive_ratio,delta_fedrad_minus_clean,mean_reset_delta_norm,mean_active_reset_kernels,total_active_reset_kernels
21,33.07,1.1790491650404085,11.790491650404086,-2.027311553287365,10,1.0,0.00037667064607127543,3.766706460712754e-05,0.00012411319503821856,3.034896055615086,0.9991889869461815,15.225704499999893,0.0,9.271511100000225,0.00033020000000760774,425608192,-72.32566293716431,69.23894811593682,23.009441303744357,-72.50931049704552,69.27338433799552,22.986118785606752,72.50931049704552,69.27338433799552,22.986118785606752,0.0013277974788775701,0.004375816588995979,0.0028446902978345873,1.0,-0.7899999999999991,11.780384456633529,75.0,750
22,37.72,0.5849086277846043,5.849086277846043,3.057811273517138,9,0.9,0.03454866644706733,0.0034548666447067333,0.011349442384685337,3.0440849229462117,0.685296549885889,15.213853799999924,0.0,10.019964800000025,0.0003899000000728847,425608192,-154.50425785958768,240.6839234063228,56.361913420171405,-154.74669553279875,240.81533712837626,56.41279558229907,154.74669553279875,240.81533712837626,56.41279558229907,0.0031428478548640084,0.003550521701686352,0.002586996735751678,1.0,0.6400000000000006,11.622454575305067,75.0,750
23,33.93,0.9921338247353747,9.921338247353747,-6.945892209285892,10,1.0,0.1252947970793823,0.012529479707938228,0.040844997999111864,3.067567712504398,1.2605762047340954,15.22219629999995,0.0,9.550852300000088,0.0003616999999849213,425608192,-110.6127727496624,156.8049209012185,65.64803196709306,-110.83542117476463,156.81894471247858,65.63969111277325,110.83542117476463,156.81894471247858,65.63969111277325,0.00251251399259497,0.004356888067429042,0.0033066116686560326,1.0,0.240000000000002,11.411088471961842,75.0,750
24,36.83,1.6988379061448982,16.98837906144898,2.735324928819872,8,0.8,0.29865735195439314,0.029865735195439315,0.10032653585013587,2.9768530272042546,1.8400498224701656,15.223238000000038,0.0,9.256865399999924,0.00043320000008861825,425608192,-50.76901001930237,38.43356517698277,23.775579793590683,-50.99110339641571,38.54546493303446,23.8285728684644,50.99110339641571,38.54546493303446,23.8285728684644,0.0025056327868835065,0.004081059963567978,0.0026969186445086352,1.0,-1.5799999999999983,11.240332666179444,75.0,750
25,24.98,0.8049420087299509,8.04942008729951,4.279350452650346,9,0.9,0.016179896645343916,0.0016179896645343917,0.005301776732216268,3.0517876294236816,0.9880624084662352,15.198115500000085,0.0,9.984436599999981,0.0003394000000298547,425608192,-87.0702434617281,131.69541140578627,41.92622964177205,-87.31119352579117,131.6911572465129,41.89638588171864,87.31119352579117,131.6911572465129,41.89638588171864,0.0030852175847423473,0.003844585529302746,0.0028311329334819546,1.0,-1.1699999999999982,11.141745260548543,75.0,750
26,44.71,1.3542389832593107,13.542389832593107,1.0586255226652228,10,1.0,0.04347086264746558,0.004347086264746558,0.014359134372912767,3.0274013403948294,1.4432278837515302,15.580152899999803,0.0,8.83261379999999,0.0003022999999302556,425608192,-294.40079800605776,279.9751163117542,134.3799008898536,-294.753367562294,280.08276053532376,134.342612135965,294.753367562294,280.08276053532376,134.342612135965,-1.5667301950613148e-05,0.0025558007268367167,0.001861101634485311,1.0,0.18999999999999773,10.957747169769553,75.0,750
27,35.26,1.770966112133997,17.70966112133997,-11.105250569363417,10,1.0,0.0869541827017315,0.00869541827017315,0.028344990255299445,3.0677090349492833,1.6398344100404256,15.030609099999992,0.0,8.454925000000003,0.0003630999999586493,425608192,-47.393610619306564,34.42319161843589,19.499844568501693,-47.584081456661224,34.48581888579463,19.566851723990958,47.584081456661224,34.48581888579463,19.566851723990958,0.002688072184062264,0.00407038965324565,0.002916588690479657,1.0,-0.9500000000000028,10.76933523934434,75.0,750
28,43.6,1.2199640468819575,12.199640468819574,5.158020837448717,9,0.9,0.1459833485876807,0.01459833485876807,0.048569068700114154,3.0056855627404193,1.4164519316194104,15.011090599999989,0.0,9.471595500000149,0.00031869999997979903,425608192,-128.49221224308013,101.95419606013257,48.57138379303508,-128.78320100784302,102.05223911957799,48.61953805700333,128.78320100784302,102.05223911957799,48.61953805700333,0.0029669846119566062,0.004477883107916484,0.0028818632968235993,1.0,-1.4200000000000017,10.666477655732015,75.0,750
29,40.43,1.463271183180598,14.632711831805981,8.681476196228145,6,0.6,0.07074272821228966,0.007074272821228966,0.023645102094400232,2.9918554772932597,1.5770176117997519,15.307848400000012,0.0,7.410257399999864,0.00035460000003695313,425608192,-103.35601423859596,119.70518789782606,65.24113471091698,-103.51382053375244,119.81635549723569,65.3280759626239,103.51382053375244,119.81635549723569,65.3280759626239,0.0021050382370441574,0.004158126450671942,0.0026833531360395545,1.0,-1.1300000000000026,10.490936089677716,75.0,750
30,41.12,1.1144951477281138,11.144951477281138,2.3715809736187348,9,0.9,0.15394971282960768,0.015394971282960768,0.050722898195514565,3.0351127066162293,0.9385402627094118,15.169183499999917,0.0,9.457229899999902,0.0003194999999323045,425608192,-245.7952200204134,225.31687519303406,70.94734107431232,-246.05899317741395,225.38512303437878,70.9855842306402,246.05899317741395,225.38512303437878,70.9855842306402,0.003361651222404586,0.004679432250462668,0.002276482596764399,1.0,-0.5900000000000034,10.312883458947395,75.0,750
