candidate,round,source_replicates,heldout_replicate,single_Q_int_pearson,averaged_Q_int_pearson,delta_Q_int_pearson,single_Q_int_spearman,averaged_Q_int_spearman,delta_Q_int_spearman,single_functional_percentile,averaged_functional_percentile,delta_functional_percentile,single_heldout_optimal_overlap,averaged_heldout_optimal_overlap,delta_heldout_optimal_overlap,single_exact_heldout_fraction,averaged_exact_heldout,source_single_pair_overlap,averaged_to_source_overlap,single_margin_per_K,averaged_margin_per_K,delta_margin_per_K,single_margin_relative_Q_std,averaged_margin_relative_Q_std,delta_margin_relative_Q_std,single_G_vs_baseline,averaged_G_vs_baseline,single_G_quality_percentile,averaged_G_quality_percentile,single_A_vs_baseline,averaged_A_vs_baseline,single_A_quality_percentile,averaged_A_quality_percentile,single_adapted_loss_vs_baseline,averaged_adapted_loss_vs_baseline,single_adapted_loss_quality_percentile,averaged_adapted_loss_quality_percentile
Full,5,"[0, 1]",2,0.6500417282047914,0.7214729361138181,0.07143120790902668,0.5562376237623763,0.6148934893489347,0.05865586558655844,90.65,100.0,9.349999999999994,0.35,0.5,0.15000000000000002,0.0,False,0.3,0.35,0.006726301775711629,0.0029679163253719665,-0.0037583854503396626,0.02198966815766837,0.009684907011631841,-0.012304761146036527,10.801928155124184,17.0487835586071,90.55000000000001,100.0,10.879458306729791,17.050830096006393,90.7,100.0,-10.879458306729791,-17.050830096006393,90.7,100.0
G,5,"[0, 1]",2,0.6735339423032907,0.7404408717872445,0.06690692948395383,0.577029702970297,0.6362316231623162,0.0592019201920192,87.13333333333333,99.90000000000002,12.766666666666694,0.44999999999999996,0.3,-0.14999999999999997,0.0,False,0.1,0.3,0.000535004543974682,0.0003296964194431151,-0.00020530812453156688,0.005350045439746919,0.003296964194431215,-0.002053081245315704,10.623660965263841,15.224535107612606,87.0,99.9,10.752304919064043,15.270064043998715,87.2,99.9,-10.752304919064043,-15.270064043998715,87.2,99.9
Full,10,"[1, 2]",0,0.44963905055944386,0.6027466843334283,0.1531076337739844,0.41935793579357933,0.5803060306030602,0.16094809480948086,98.63333333333333,99.90000000000002,1.2666666666666941,0.15000000000000002,0.2,0.04999999999999999,0.0,False,0.1,0.5,0.008996188229789048,0.010766528516816365,0.0017703402870273173,0.028828772443220442,0.034493961469685114,0.005665189026464672,15.382323479652406,17.731493878364567,98.6,99.9,15.43426434993744,17.748735713958744,98.65,99.9,-15.43426434993744,-17.748735713958737,98.65,99.9
G,10,"[1, 2]",0,0.4487434252923583,0.596067370557269,0.14732394526491072,0.41800780078007793,0.5755775577557756,0.15756975697569764,97.63333333333333,100.0,2.3666666666666742,0.15000000000000002,0.2,0.04999999999999999,0.0,False,0.1,0.4,0.007164205103922949,0.002550268231944752,-0.004613936871978197,0.07164205103923049,0.025502682319447974,-0.04613936871978252,14.286953961849214,20.355403709411622,97.5,100.0,14.365444254875186,20.40432624816895,97.7,100.0,-14.365444254875186,-20.404326248168942,97.7,100.0
Full,10,"[0, 2]",1,0.3293497127664754,0.324450510350874,-0.004899202415601378,0.34312631263126314,0.43069906990699064,0.0875727572757275,93.4,96.2,2.799999999999997,0.15000000000000002,0.3,0.14999999999999997,0.0,False,0.1,0.35,0.012651498127894456,0.02966068800702857,0.017009189879134114,0.04099515644107543,0.09511646663394065,0.054121310192865216,16.272652155160905,18.05510083436966,93.3,96.2,16.283230471611027,18.035692930221558,93.45,96.2,-16.28323047161102,-18.035692930221558,93.45,96.2
G,10,"[0, 2]",1,0.3325941836151451,0.3313544797035377,-0.0012397039116073816,0.34535853585358534,0.43260726072607253,0.0872487248724872,93.26666666666668,95.66666666666667,2.3999999999999915,0.15000000000000002,0.0,-0.15000000000000002,0.0,False,0.1,0.25,0.0040832891297652545,0.002769814566138873,-0.0013134745636263815,0.04083289129765312,0.027698145661389284,-0.013134745636263837,16.125948965549473,17.529456686973575,93.19999999999999,95.6,16.125049519538884,17.522728776931764,93.30000000000001,95.7,-16.125049519538877,-17.522728776931764,93.30000000000001,95.7
Full,10,"[0, 1]",2,0.1285417085351215,0.12885967912364435,0.0003179705885228423,0.20146414641464144,0.23066306630663064,0.029198919891989195,77.33333333333334,97.2,19.86666666666666,0.1,0.2,0.1,0.0,False,0.2,0.45,0.008454905340835418,0.005442388388717845,-0.003012516952117573,0.027865699614808434,0.017887539984204514,-0.00997815963060392,22.907930642366416,34.31202533245087,77.1,97.2,22.953043222427368,34.28748478889465,77.45,97.2,-22.953043222427368,-34.28748478889465,77.45,97.2
G,10,"[0, 1]",2,0.13300619312801876,0.13250506320412292,-0.0005011299238958378,0.20937893789378936,0.2443444344434443,0.034965496549654945,71.63333333333334,90.03333333333335,18.400000000000006,0.1,0.1,0.0,0.0,False,0.2,0.55,0.0033783975708419514,0.002259316489669505,-0.0011190810811724464,0.033783975708420004,0.022593164896695456,-0.011190810811724548,21.021093529462824,28.35696721076966,71.4,89.9,21.079960441589357,28.356978559494017,71.75,90.1,-21.079960441589357,-28.356978559494017,71.75,90.1
Full,20,"[1, 2]",0,0.5542628350617198,0.6675607782242446,0.11329794316252484,0.5461506150615061,0.6725112511251126,0.12636063606360648,99.85000000000001,100.0,0.14999999999999147,0.25,0.3,0.04999999999999999,0.0,False,0.3,0.6499999999999999,0.009053315144007267,0.020370009321025506,0.011316694177018239,0.030061142001636804,0.06778184584980952,0.03772070384817272,20.05312044620514,23.666275572776797,99.85,100.0,20.03390927314758,23.719505596160886,99.85,100.0,-20.033909273147582,-23.719505596160886,99.85,100.0
G,20,"[1, 2]",0,0.590465088939595,0.7012121384671196,0.11074704952752457,0.5851125112511251,0.7132913291329133,0.1281788178817882,99.26666666666668,100.0,0.7333333333333201,0.2,0.2,0.0,0.0,False,0.2,0.55,0.004540469709652584,0.004763324641098521,0.00022285493144593663,0.04540469709652656,0.04763324641098627,0.0022285493144597116,19.944145214557647,22.879452645778656,99.3,100.0,19.94396395683288,22.854976272583002,99.25,100.0,-19.943963956832885,-22.85497627258301,99.25,100.0
