protocol,candidate,round,source_replicate,heldout_replicate,functional_percentile,heldout_G,baseline_G,G_vs_baseline,random_G_mean,random_G_std,random_G_p90,random_G_p95,G_quality_percentile,heldout_A,baseline_A,A_vs_baseline,random_A_mean,random_A_std,random_A_p90,random_A_p95,A_quality_percentile,heldout_adapted_loss,baseline_adapted_loss,adapted_loss_vs_baseline,random_adapted_loss_mean,random_adapted_loss_std,random_adapted_loss_p90,random_adapted_loss_p95,adapted_loss_quality_percentile,source_replicates
P0_32_32,G,1,1,0,99.73333333333333,0.41976897716522216,0.3167194604873657,0.10304951667785645,0.24684131360054015,0.06411252764753751,0.33087656497955326,0.35001243770122525,100.0,0.32932883501052856,0.2728340983390808,0.056494736671447776,0.21851515978574754,0.05116211437396774,0.2842188024520874,0.29889136016368867,99.6,2.2790639281272886,2.3355586647987367,-0.05649473667144811,2.38987760335207,0.051162114373967754,2.460702724456787,2.474796543717384,99.6,
P0_32_32,G,1,1,2,94.73333333333333,0.7971461892127991,0.761026269197464,0.03611992001533515,0.6971853922724724,0.042617816179518854,0.7546285223960877,0.7681331986188888,99.2,0.7244328856468201,0.7203345835208893,0.004098302125930764,0.6772109715223313,0.03040903186850289,0.7196391022205353,0.7296484735608101,92.5,1.8611255526542663,1.8652238547801971,-0.004098302125930875,1.908347466778755,0.030409031868502898,1.9476818084716796,1.9543427312374115,92.5,
P0_32_32,G,1,2,0,69.39999999999999,0.33155299425125123,0.3167194604873657,0.01483353376388552,0.24684131360054015,0.06411252764753751,0.33087656497955326,0.35001243770122525,90.2,0.23461636304855346,0.2728340983390808,-0.03821773529052733,0.21851515978574754,0.05116211437396774,0.2842188024520874,0.29889136016368867,59.0,2.373776400089264,2.3355586647987367,0.03821773529052708,2.38987760335207,0.051162114373967754,2.460702724456787,2.474796543717384,59.0,
P0_32_32,G,1,2,1,80.33333333333333,0.14066088199615479,0.057305097579956055,0.08335578441619873,0.038935121524333954,0.06861102511652183,0.12736958861351014,0.14618527710437773,93.8,0.05779399871826172,0.024266541004180908,0.03352745771408081,0.016895333647727967,0.0570946090461479,0.09087414979934692,0.10380568385124203,73.6,2.561135005950928,2.5946624636650086,-0.03352745771408072,2.6020336710214615,0.0570946090461479,2.6818575954437254,2.6989065259695053,73.6,
P0_32_32,G,20,0,1,98.8,-67.0182051539421,-84.65773347616195,17.639528322219846,-83.33693975942136,8.045603248339312,-73.10587053656579,-70.9787590020895,98.8,-67.0381143450737,-84.72445286512375,17.686338520050057,-83.4599766633034,8.067822506461054,-73.22571493864059,-71.03749185323716,98.8,68.82214221954345,86.50848073959351,-17.686338520050057,85.24400453777315,8.067822506461054,95.77296709060668,98.69053413391114,98.8,
P0_32_32,G,20,0,2,99.5,-59.84417120218277,-79.80022386312484,19.95605266094207,-80.00175986239911,8.848611052425055,-67.50015456914902,-65.18628132581712,99.5,-59.943318164348604,-79.81788481473923,19.874566650390626,-80.12157476472855,8.861783148812012,-67.61663937330246,-65.33105446577073,99.5,61.794436073303224,81.66900272369385,-19.874566650390626,81.97269267368317,8.861783148812012,93.6046788406372,96.58418687820435,99.5,
P0_32_32,G,20,1,0,100.0,-39.6824266076088,-59.83288290500641,20.15045629739761,-61.50284260206223,8.30371477883195,-51.420990079641335,-48.93104357004166,100.0,-39.774319040775296,-59.91906772851944,20.14474868774414,-61.627574374866484,8.316782025733442,-51.54962126016617,-49.04657447099686,100.0,41.55624885559082,61.700997543334964,-20.14474868774414,63.40950418968201,8.316782025733442,74.41431518554687,78.6239751815796,100.0,
P0_32_32,G,20,1,2,99.86666666666667,-58.13890206813812,-79.80022386312484,21.66132179498672,-80.00175986239911,8.848611052425055,-67.50015456914902,-65.18628132581712,99.8,-58.14318541288376,-79.81788481473923,21.67469940185547,-80.12157476472855,8.861783148812012,-67.61663937330246,-65.33105446577073,99.9,59.99430332183838,81.66900272369385,-21.67469940185547,81.97269267368317,8.861783148812012,93.6046788406372,96.58418687820435,99.9,
P0_32_32,G,20,2,0,99.59999999999998,-43.93466975688934,-59.83288290500641,15.898213148117065,-61.50284260206223,8.30371477883195,-51.420990079641335,-48.93104357004166,99.6,-44.01175380945206,-59.91906772851944,15.907313919067377,-61.627574374866484,8.316782025733442,-51.54962126016617,-49.04657447099686,99.6,45.79368362426758,61.700997543334964,-15.907313919067384,63.40950418968201,8.316782025733442,74.41431518554687,78.6239751815796,99.6,
P0_32_32,G,20,2,1,99.90000000000002,-61.05978260040283,-84.65773347616195,23.597950875759118,-83.33693975942136,8.045603248339312,-73.10587053656579,-70.9787590020895,99.9,-61.08512190580368,-84.72445286512375,23.63933095932007,-83.4599766633034,8.067822506461054,-73.22571493864059,-71.03749185323716,99.9,62.86914978027344,86.50848073959351,-23.63933095932007,85.24400453777315,8.067822506461054,95.77296709060668,98.69053413391114,99.9,
P0_32_32,G,40,0,1,99.2,-184.52731773853301,-242.41953349113464,57.89221575260163,-222.40033362617493,16.9610739698933,-200.40427914619445,-195.91308654248715,99.2,-184.8762311398983,-242.72349066138267,57.847259521484375,-222.69103961577417,16.96668198779222,-200.7374307858944,-196.19905854582785,99.2,186.31935691833496,244.16661643981934,-57.847259521484375,224.13416539421084,16.96668198779222,247.1276254272461,252.77046033859253,99.2,
P0_32_32,G,40,0,2,99.8,-130.0429595589638,-167.66214073896407,37.61918118000028,-162.46239628875256,12.412872009514805,-145.57074117362498,-142.27461976110936,99.8,-130.40478469133376,-167.9158994793892,37.51111478805544,-162.7451483113289,12.416193645706176,-145.80240870714186,-142.56009480714798,99.8,131.7017566680908,169.21287145614625,-37.51111478805544,164.04212028808595,12.416193645706176,180.27691592216493,184.67756124973295,99.8,
P0_32_32,G,40,1,0,98.90000000000002,-174.52693490982057,-213.174271273613,38.64733636379242,-208.0090096097827,15.467319155616673,-188.49156393766404,-183.18928835093976,98.9,-174.82787774205207,-213.52116807103158,38.693290328979515,-208.31246430211067,15.471686440343353,-188.7669540512562,-183.46022477269173,98.9,176.24800643920898,214.94129676818847,-38.69329032897949,209.73259299926755,15.471686440343353,230.74317344665528,236.6962552833557,98.9,
P0_32_32,G,40,1,2,69.76666666666667,-155.640311896801,-167.66214073896407,12.021828842163075,-162.46239628875256,12.412872009514805,-145.57074117362498,-142.27461976110936,69.9,-155.9724249958992,-167.9158994793892,11.943474483490007,-162.7451483113289,12.416193645706176,-145.80240870714186,-142.56009480714798,69.7,157.26939697265624,169.21287145614625,-11.943474483490007,164.04212028808595,12.416193645706176,180.27691592216493,184.67756124973295,69.7,
P0_32_32,G,40,2,0,68.4,-200.2003888607025,-213.174271273613,12.973882412910484,-208.0090096097827,15.467319155616673,-188.49156393766404,-183.18928835093976,68.4,-200.49880288243293,-213.52116807103158,13.022365188598656,-208.31246430211067,15.471686440343353,-188.7669540512562,-183.46022477269173,68.4,201.91893157958984,214.94129676818847,-13.022365188598627,209.73259299926755,15.471686440343353,230.74317344665528,236.6962552833557,68.4,
