candidate,round,source_replicate,heldout_replicate,cross_score,baseline_score,cross_minus_baseline,random_mean,random_std,random_p90,random_p95,cross_percentile,cross_minus_baseline_random_std,cross_above_baseline,cross_above_random_p90,heldout_G,baseline_G,G_vs_baseline,random_G_mean,random_G_std,random_G_p90,random_G_p95,G_quality_percentile,heldout_A,baseline_A,A_vs_baseline,random_A_mean,random_A_std,random_A_p90,random_A_p95,A_quality_percentile,heldout_adapted_loss,baseline_adapted_loss,adapted_loss_vs_baseline,random_adapted_loss_mean,random_adapted_loss_std,random_adapted_loss_p90,random_adapted_loss_p95,adapted_loss_quality_percentile
A,1,2,0,-0.5194587990162977,0.3550132221193733,-0.8744720211356709,0.004214053326598307,0.3604827114231403,0.45247618104933923,0.5636988405413615,8.8,-2.4258362285485635,False,False,0.13902560472488404,0.25282821655273435,-0.11380261182785031,0.1987684033870697,0.052714470690991576,0.26534682989120484,0.28070395171642304,13.7,0.11491082906723023,0.21564872264862062,-0.10073789358139039,0.17523717318773271,0.041527079361686446,0.22687631249427795,0.23968899965286253,8.8,2.5126906037330627,2.4119527101516725,0.10073789358139029,2.45236425961256,0.041527079361686446,2.510818234682083,2.523663140535355,8.8
C,1,2,0,7.143204769292991,1.9339743362704374,5.209230433022554,-0.03007533681968829,2.0293049689887557,2.622347805900514,3.314010965887097,100.0,2.567002255761696,True,True,0.2284807562828064,0.25282821655273435,-0.024347460269927956,0.1987684033870697,0.052714470690991576,0.26534682989120484,0.28070395171642304,69.9,0.1728429913520813,0.21564872264862062,-0.04280573129653931,0.17523717318773271,0.041527079361686446,0.22687631249427795,0.23968899965286253,45.9,2.4547584414482118,2.4119527101516725,0.04280573129653931,2.45236425961256,0.041527079361686446,2.510818234682083,2.523663140535355,45.9
G+C,1,2,0,1.554596817849063,0.9487954950584091,0.6058013227906539,-0.007373950376773287,0.7740524498233667,0.9469318809376687,1.221552966208843,98.2,0.7826360124935894,True,True,0.22646985054016114,0.25282821655273435,-0.026358366012573214,0.1987684033870697,0.052714470690991576,0.26534682989120484,0.28070395171642304,69.2,0.17078585624694825,0.21564872264862062,-0.04486286640167236,0.17523717318773271,0.041527079361686446,0.22687631249427795,0.23968899965286253,43.9,2.456815576553345,2.4119527101516725,0.04486286640167236,2.45236425961256,0.041527079361686446,2.510818234682083,2.523663140535355,43.9
A+C,1,2,0,1.2816688146044921,0.8385068061869829,0.4431620084175092,-0.003304780878323779,0.6558655937557174,0.8072741338035904,1.0712332195548961,97.7,0.6756902826382574,True,True,0.22646985054016114,0.25282821655273435,-0.026358366012573214,0.1987684033870697,0.052714470690991576,0.26534682989120484,0.28070395171642304,69.2,0.17078585624694825,0.21564872264862062,-0.04486286640167236,0.17523717318773271,0.041527079361686446,0.22687631249427795,0.23968899965286253,43.9,2.456815576553345,2.4119527101516725,0.04486286640167236,2.45236425961256,0.041527079361686446,2.510818234682083,2.523663140535355,43.9
G+A,1,2,0,-0.5599699873021218,0.8203151331101746,-1.3802851204122963,0.00435893715474729,0.8010415895973452,1.0161933315689031,1.2329856679596893,25.4,-1.723112929886844,False,False,0.1748641848564148,0.25282821655273435,-0.07796403169631955,0.1987684033870697,0.052714470690991576,0.26534682989120484,0.28070395171642304,31.9,0.13392175436019899,0.21564872264862062,-0.08172696828842163,0.17523717318773271,0.041527079361686446,0.22687631249427795,0.23968899965286253,17.5,2.493679678440094,2.4119527101516725,0.08172696828842163,2.45236425961256,0.041527079361686446,2.510818234682083,2.523663140535355,17.5
Full,1,2,1,1.0369295062559036,-0.8760216306638426,1.9129511369197463,0.005006995454695495,2.480408073988879,3.2421072469764947,4.18643509116273,65.3,0.7712243630312916,True,False,0.5379832506179809,0.49824934005737304,0.03973391056060788,0.4935500786423684,0.054035478366237344,0.5614224803447724,0.5833706277608871,77.9,0.4858767747879028,0.4539839267730713,0.0318928480148315,0.46621104822158815,0.04094376802294321,0.5187145483493805,0.5321109074354172,67.4,2.101307916641235,2.133200764656067,-0.03189284801483172,2.12097364320755,0.04094376802294321,2.1740242648124695,2.18949976503849,67.4
G,1,2,1,0.6661191741831702,0.05257206959286731,0.6135471045903029,-0.007186249218815613,0.6871440122571181,0.8559154727871724,1.1350198414928838,82.6,0.892894493215381,True,False,0.5464973211288452,0.49824934005737304,0.04824798107147216,0.4935500786423684,0.054035478366237344,0.5614224803447724,0.5833706277608871,82.6,0.48323657512664797,0.4539839267730713,0.02925264835357666,0.46621104822158815,0.04094376802294321,0.5187145483493805,0.5321109074354172,65.3,2.1039481163024902,2.133200764656067,-0.02925264835357666,2.12097364320755,0.04094376802294321,2.1740242648124695,2.18949976503849,65.3
A,1,2,1,-0.05344243231492829,-0.14835718675447507,0.09491475443954678,0.010690590383423007,0.5325877655765635,0.6936448754492375,0.8679018453621078,44.9,0.17821429738776465,True,False,0.498120391368866,0.49824934005737304,-0.00012894868850704677,0.4935500786423684,0.054035478366237344,0.5614224803447724,0.5833706277608871,52.7,0.46128069162368773,0.4539839267730713,0.007296764850616422,0.46621104822158815,0.04094376802294321,0.5187145483493805,0.5321109074354172,44.9,2.1259039998054505,2.133200764656067,-0.007296764850616366,2.12097364320755,0.04094376802294321,2.1740242648124695,2.18949976503849,44.9
C,1,2,1,5.785981336558457,1.9531285494858541,3.832852787072603,-0.09519158234453434,1.965126986083163,2.4635302645580803,3.166272430793204,99.7,1.9504351699490625,True,True,0.5913106799125671,0.49824934005737304,0.0930613398551941,0.4935500786423684,0.054035478366237344,0.5614224803447724,0.5833706277608871,95.8,0.53215571641922,0.4539839267730713,0.07817178964614868,0.46621104822158815,0.04094376802294321,0.5187145483493805,0.5321109074354172,95.0,2.055028975009918,2.133200764656067,-0.07817178964614868,2.12097364320755,0.04094376802294321,2.1740242648124695,2.18949976503849,95.0
G+C,1,2,1,1.9865249344688314,0.5408542069643312,1.4456707275045002,-0.030984144804949147,0.9809963679482107,1.2275795295504541,1.6689360395752082,97.5,1.4736759224992573,True,True,0.5603727340698242,0.49824934005737304,0.062123394012451205,0.4935500786423684,0.054035478366237344,0.5614224803447724,0.5833706277608871,89.4,0.49537742137908936,0.4539839267730713,0.041393494606018044,0.46621104822158815,0.04094376802294321,0.5187145483493805,0.5321109074354172,75.0,2.0918072700500487,2.133200764656067,-0.041393494606018155,2.12097364320755,0.04094376802294321,2.1740242648124695,2.18949976503849,75.0
A+C,1,2,1,1.5340391220557394,0.3399249506169886,1.1941141714387509,-0.013107305202710627,0.800839907585349,0.9850080769477283,1.3417784720970132,96.5,1.4910772554269707,True,True,0.5603727340698242,0.49824934005737304,0.062123394012451205,0.4935500786423684,0.054035478366237344,0.5614224803447724,0.5833706277608871,89.4,0.49537742137908936,0.4539839267730713,0.041393494606018044,0.46621104822158815,0.04094376802294321,0.5187145483493805,0.5321109074354172,75.0,2.0918072700500487,2.133200764656067,-0.041393494606018155,2.12097364320755,0.04094376802294321,2.1740242648124695,2.18949976503849,75.0
G+A,1,2,1,0.4358755355829116,-0.09578511716160776,0.5316606527445193,0.0035043411646076025,1.1972586417689455,1.527904329794697,1.9440427738557537,61.9,0.44406499497802127,True,False,0.5266031265258789,0.49824934005737304,0.028353786468505893,0.4935500786423684,0.054035478366237344,0.5614224803447724,0.5833706277608871,72.6,0.4671374917030334,0.4539839267730713,0.013153564929962114,0.46621104822158815,0.04094376802294321,0.5187145483493805,0.5321109074354172,50.1,2.1200471997261046,2.133200764656067,-0.013153564929962336,2.12097364320755,0.04094376802294321,2.1740242648124695,2.18949976503849,50.1
Full,5,0,1,5.3939646433457025,-0.19725187766784913,5.591216521013552,0.03650616467548892,2.8776871631485275,3.618080858152354,4.425873748622379,98.6,1.9429549509808788,True,True,-25.20849335193634,-35.51181265115738,10.303319299221037,-34.32023473293782,4.800616686313081,-28.119022883176804,-27.025697565674783,99.1,-25.192949974536894,-35.508576369285585,10.31562639474869,-34.260156561708456,4.815202364484993,-28.0574831700325,-27.002121326923373,99.1,27.792447757720947,38.108074152469634,-10.315626394748687,36.859654344892505,4.815202364484993,43.59538792252541,45.28136474370956,99.1
G,5,0,1,2.005150856072795,-0.2305888566147729,2.2357397126875678,0.016514158499494048,0.9955260494993825,1.3024880944111772,1.5292160140248492,99.5,2.2457872536955192,True,True,-24.73064888715744,-35.51181265115738,10.781163763999938,-34.32023473293782,4.800616686313081,-28.119022883176804,-27.025697565674783,99.5,-24.67587834596634,-35.508576369285585,10.832698023319246,-34.260156561708456,4.815202364484993,-28.0574831700325,-27.002121326923373,99.5,27.27537612915039,38.108074152469634,-10.832698023319242,36.859654344892505,4.815202364484993,43.59538792252541,45.28136474370956,99.5
